YearStart,LocationAbbr,Topic,Question,DataValue
2016,US,Cardiovascular Disease,Influenza vaccination among noninstitutionalized adults aged >= 65 years with a history of coronary heart disease or stroke,64.3
2016,US,Cardiovascular Disease,Influenza vaccination among noninstitutionalized adults aged >= 65 years with a history of coronary heart disease or stroke,60.6
2016,US,Cardiovascular Disease,Influenza vaccination among noninstitutionalized adults aged >= 65 years with a history of coronary heart disease or stroke,60.1
2016,US,Diabetes,Prevalence of depressive disorders among adults aged >= 18 years with diagnosed diabetes,25.4
2016,US,Diabetes,Prevalence of depressive disorders among adults aged >= 18 years with diagnosed diabetes,30.7
2016,US,Diabetes,Prevalence of depressive disorders among adults aged >= 18 years with diagnosed diabetes,18.7
2016,US,Diabetes,Prevalence of depressive disorders among adults aged >= 18 years with diagnosed diabetes,23.6
2016,US,Diabetes,Prevalence of depressive disorders among adults aged >= 18 years with diagnosed diabetes,32.1
2016,US,Diabetes,Prevalence of depressive disorders among adults aged >= 18 years with diagnosed diabetes,39.8
2016,US,Diabetes,Influenza vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes,48.4
2016,US,Diabetes,Influenza vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes,43.9
2016,US,Diabetes,Influenza vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes,48.4
2016,US,Diabetes,Influenza vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes,42.4
2016,US,Diabetes,Influenza vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes,49.4
2016,US,Diabetes,Influenza vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes,44.3
2016,US,Diabetes,Influenza vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes,63.1
2016,US,Diabetes,Influenza vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes,64
2016,US,Diabetes,Influenza vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes,65
2016,US,Diabetes,Influenza vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes,65.8
2016,US,Diabetes,Influenza vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes,62.3
2016,US,Diabetes,Influenza vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes,63
2016,US,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,9.5
2016,US,Diabetes,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes,50.1
2016,US,Diabetes,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes,44.4
2016,US,Diabetes,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes,46.6
2016,US,Diabetes,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes,44.4
2016,US,Diabetes,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes,53.2
2016,US,Diabetes,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes,47.2
2016,US,Diabetes,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes,80.4
2016,US,Diabetes,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes,80.7
2016,US,Diabetes,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes,79.8
2016,US,Diabetes,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes,80.5
2016,US,Diabetes,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes,82.2
2016,US,Diabetes,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes,82.9
2016,US,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,10.5
2016,US,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,10.7
2016,US,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,10
2016,US,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,10
2016,US,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,8.8
2016,US,Diabetes,Diabetes prevalence among women aged 18-44 years,5.1
2016,US,Diabetes,Visits to dentist or dental clinic among adults aged >= 18 years with diagnosed diabetes,59.4
2016,US,Diabetes,Visits to dentist or dental clinic among adults aged >= 18 years with diagnosed diabetes,59.5
2016,US,Diabetes,Visits to dentist or dental clinic among adults aged >= 18 years with diagnosed diabetes,59.2
2016,US,Diabetes,Visits to dentist or dental clinic among adults aged >= 18 years with diagnosed diabetes,58.3
2016,US,Diabetes,Visits to dentist or dental clinic among adults aged >= 18 years with diagnosed diabetes,59.7
2016,US,Diabetes,Visits to dentist or dental clinic among adults aged >= 18 years with diagnosed diabetes,58.9
2016,US,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,3.7
2016,US,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,3.8
2016,US,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,3.2
2016,US,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,3.2
2016,US,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,4.3
2016,US,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,4.4
2016,US,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,15.7
2016,US,"Nutrition, Physical Activity, and Weight Status",No leisure-time physical activity among adults aged >= 18 years,23.1
2016,US,"Nutrition, Physical Activity, and Weight Status",No leisure-time physical activity among adults aged >= 18 years,22.7
2016,US,"Nutrition, Physical Activity, and Weight Status",No leisure-time physical activity among adults aged >= 18 years,21.2
2016,US,"Nutrition, Physical Activity, and Weight Status",No leisure-time physical activity among adults aged >= 18 years,20.9
2016,US,"Nutrition, Physical Activity, and Weight Status",No leisure-time physical activity among adults aged >= 18 years,25.2
2016,US,"Nutrition, Physical Activity, and Weight Status",No leisure-time physical activity among adults aged >= 18 years,24.4
2016,US,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,29.9
2016,US,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,30
2016,US,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,30.3
2016,US,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,30.2
2016,US,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,29.5
2016,US,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,29.3
2016,US,"Nutrition, Physical Activity, and Weight Status",Overweight or obesity among adults aged >= 18 years,65.4
2016,US,"Nutrition, Physical Activity, and Weight Status",Overweight or obesity among adults aged >= 18 years,65.1
2016,US,"Nutrition, Physical Activity, and Weight Status",Overweight or obesity among adults aged >= 18 years,71.3
2016,US,"Nutrition, Physical Activity, and Weight Status",Overweight or obesity among adults aged >= 18 years,71.2
2016,US,"Nutrition, Physical Activity, and Weight Status",Overweight or obesity among adults aged >= 18 years,59.5
2016,US,"Nutrition, Physical Activity, and Weight Status",Overweight or obesity among adults aged >= 18 years,59.3
2016,US,"Nutrition, Physical Activity, and Weight Status",Overweight or obesity among women aged 18-44 years,54.7
2016,US,"Nutrition, Physical Activity, and Weight Status",Healthy weight among adults aged >= 18 years,32.9
2016,US,"Nutrition, Physical Activity, and Weight Status",Healthy weight among adults aged >= 18 years,33.2
2016,US,"Nutrition, Physical Activity, and Weight Status",Healthy weight among adults aged >= 18 years,27.5
2016,US,"Nutrition, Physical Activity, and Weight Status",Healthy weight among adults aged >= 18 years,27.9
2016,US,"Nutrition, Physical Activity, and Weight Status",Healthy weight among adults aged >= 18 years,38.3
2016,US,"Nutrition, Physical Activity, and Weight Status",Healthy weight among adults aged >= 18 years,38.6
2015,US,Cardiovascular Disease,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with a history of coronary heart disease,45.2
2015,US,Cardiovascular Disease,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with a history of coronary heart disease,42.5
2015,US,Cardiovascular Disease,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with a history of coronary heart disease,41.4
2015,US,Cardiovascular Disease,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with a history of coronary heart disease,52.3
2015,US,Cardiovascular Disease,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with a history of coronary heart disease,47.7
2015,US,Cardiovascular Disease,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with a history of coronary heart disease,49.8
2015,US,Cardiovascular Disease,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with a history of coronary heart disease,83.2
2015,US,Cardiovascular Disease,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with a history of coronary heart disease,79.9
2015,US,Cardiovascular Disease,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with a history of coronary heart disease,80.9
2015,US,Cardiovascular Disease,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with a history of coronary heart disease,83.3
2015,US,Cardiovascular Disease,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with a history of coronary heart disease,79.3
2015,US,Cardiovascular Disease,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with a history of coronary heart disease,81
2015,US,Cardiovascular Disease,Cholesterol screening among adults aged >= 18 years,81.5
2015,US,Cardiovascular Disease,Cholesterol screening among adults aged >= 18 years,77.8
2015,US,Cardiovascular Disease,Cholesterol screening among adults aged >= 18 years,79.7
2015,US,Cardiovascular Disease,Cholesterol screening among adults aged >= 18 years,83.8
2015,US,Cardiovascular Disease,Cholesterol screening among adults aged >= 18 years,78.7
2015,US,Cardiovascular Disease,Cholesterol screening among adults aged >= 18 years,81.5
2015,US,Cardiovascular Disease,High cholesterol prevalence among adults aged >= 18 years,29.9
2015,US,Cardiovascular Disease,High cholesterol prevalence among adults aged >= 18 years,33
2015,US,Cardiovascular Disease,High cholesterol prevalence among adults aged >= 18 years,31.3
2015,US,Cardiovascular Disease,High cholesterol prevalence among adults aged >= 18 years,36.3
2015,US,Cardiovascular Disease,High cholesterol prevalence among adults aged >= 18 years,38
2015,US,Cardiovascular Disease,High cholesterol prevalence among adults aged >= 18 years,35.1
2015,US,Cardiovascular Disease,Awareness of high blood pressure among adults aged >= 18 years,26.1
2015,US,Cardiovascular Disease,Awareness of high blood pressure among adults aged >= 18 years,32.4
2015,US,Cardiovascular Disease,Awareness of high blood pressure among adults aged >= 18 years,29.5
2015,US,Cardiovascular Disease,Awareness of high blood pressure among adults aged >= 18 years,29.2
2015,US,Cardiovascular Disease,Awareness of high blood pressure among adults aged >= 18 years,33.3
2015,US,Cardiovascular Disease,Awareness of high blood pressure among adults aged >= 18 years,30.9
2015,US,Cardiovascular Disease,Awareness of high blood pressure among women aged 18-44 years,12.4
2015,US,Cardiovascular Disease,Taking medicine for high blood pressure control among adults aged >= 18 years with high blood pressure,62.4
2015,US,Cardiovascular Disease,Taking medicine for high blood pressure control among adults aged >= 18 years with high blood pressure,56.2
2015,US,Cardiovascular Disease,Taking medicine for high blood pressure control among adults aged >= 18 years with high blood pressure,59
2015,US,Cardiovascular Disease,Taking medicine for high blood pressure control among adults aged >= 18 years with high blood pressure,82.4
2015,US,Cardiovascular Disease,Taking medicine for high blood pressure control among adults aged >= 18 years with high blood pressure,74.1
2015,US,Cardiovascular Disease,Taking medicine for high blood pressure control among adults aged >= 18 years with high blood pressure,78.5
2015,US,Cardiovascular Disease,Influenza vaccination among noninstitutionalized adults aged 18-64 years with a history of coronary heart disease or stroke,39.4
2015,US,Cardiovascular Disease,Influenza vaccination among noninstitutionalized adults aged 18-64 years with a history of coronary heart disease or stroke,32.5
2015,US,Cardiovascular Disease,Influenza vaccination among noninstitutionalized adults aged 18-64 years with a history of coronary heart disease or stroke,36.4
2015,US,Cardiovascular Disease,Influenza vaccination among noninstitutionalized adults aged 18-64 years with a history of coronary heart disease or stroke,48
2015,US,Cardiovascular Disease,Influenza vaccination among noninstitutionalized adults aged 18-64 years with a history of coronary heart disease or stroke,44.6
2015,US,Cardiovascular Disease,Influenza vaccination among noninstitutionalized adults aged 18-64 years with a history of coronary heart disease or stroke,46.8
2015,US,Cardiovascular Disease,Influenza vaccination among noninstitutionalized adults aged >= 65 years with a history of coronary heart disease or stroke,62.5
2015,US,Cardiovascular Disease,Influenza vaccination among noninstitutionalized adults aged >= 65 years with a history of coronary heart disease or stroke,65
2015,US,Cardiovascular Disease,Influenza vaccination among noninstitutionalized adults aged >= 65 years with a history of coronary heart disease or stroke,63.6
2015,US,Cardiovascular Disease,Influenza vaccination among noninstitutionalized adults aged >= 65 years with a history of coronary heart disease or stroke,60.9
2015,US,Cardiovascular Disease,Influenza vaccination among noninstitutionalized adults aged >= 65 years with a history of coronary heart disease or stroke,64.5
2015,US,Cardiovascular Disease,Influenza vaccination among noninstitutionalized adults aged >= 65 years with a history of coronary heart disease or stroke,63.7
2015,US,Diabetes,Adults with diagnosed diabetes aged >= 18 years who have taken a diabetes self-management course,55.2
2015,US,Diabetes,Adults with diagnosed diabetes aged >= 18 years who have taken a diabetes self-management course,54.7
2015,US,Diabetes,Adults with diagnosed diabetes aged >= 18 years who have taken a diabetes self-management course,54.8
2015,US,Diabetes,Adults with diagnosed diabetes aged >= 18 years who have taken a diabetes self-management course,55.6
2015,US,Diabetes,Adults with diagnosed diabetes aged >= 18 years who have taken a diabetes self-management course,53.8
2015,US,Diabetes,Adults with diagnosed diabetes aged >= 18 years who have taken a diabetes self-management course,55
2015,US,Diabetes,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,57.8
2015,US,Diabetes,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,58.7
2015,US,Diabetes,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,55.5
2015,US,Diabetes,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,65.4
2015,US,Diabetes,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,64.7
2015,US,Diabetes,Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes,65.5
2015,US,Diabetes,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,58.5
2015,US,Diabetes,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,61.1
2015,US,Diabetes,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,57.9
2015,US,Diabetes,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,72
2015,US,Diabetes,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,71.9
2015,US,Diabetes,Prevalence of high blood pressure among adults aged >= 18 years with diagnosed diabetes,71.9
2015,US,Diabetes,Prevalence of depressive disorders among adults aged >= 18 years with diagnosed diabetes,39.2
2015,US,Diabetes,Prevalence of depressive disorders among adults aged >= 18 years with diagnosed diabetes,22.7
2015,US,Diabetes,Prevalence of depressive disorders among adults aged >= 18 years with diagnosed diabetes,31.9
2015,US,Diabetes,Prevalence of depressive disorders among adults aged >= 18 years with diagnosed diabetes,33.5
2015,US,Diabetes,Prevalence of depressive disorders among adults aged >= 18 years with diagnosed diabetes,20.6
2015,US,Diabetes,Prevalence of depressive disorders among adults aged >= 18 years with diagnosed diabetes,27.3
2015,US,Diabetes,Influenza vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes,50
2015,US,Diabetes,Influenza vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes,44.5
2015,US,Diabetes,Influenza vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes,46.9
2015,US,Diabetes,Influenza vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes,54.2
2015,US,Diabetes,Influenza vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes,49.5
2015,US,Diabetes,Influenza vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes,51
2015,US,Diabetes,Influenza vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes,65.3
2015,US,Diabetes,Influenza vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes,66.7
2015,US,Diabetes,Influenza vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes,65.7
2015,US,Diabetes,Influenza vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes,65.2
2015,US,Diabetes,Influenza vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes,66.1
2015,US,Diabetes,Influenza vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes,65.7
2015,US,Diabetes,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes,45.4
2015,US,Diabetes,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes,41.9
2015,US,Diabetes,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes,46.2
2015,US,Diabetes,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes,54.5
2015,US,Diabetes,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes,49.2
2015,US,Diabetes,Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes,52.4
2015,US,Diabetes,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes,82.7
2015,US,Diabetes,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes,80.1
2015,US,Diabetes,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes,81
2015,US,Diabetes,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes,82.6
2015,US,Diabetes,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes,79.5
2015,US,Diabetes,Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes,80.8
2015,US,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,8.2
2015,US,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,9.6
2015,US,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,9.1
2015,US,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,9.4
2015,US,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,10.3
2015,US,Diabetes,Prevalence of diagnosed diabetes among adults aged >= 18 years,9.9
2015,US,Diabetes,Diabetes prevalence among women aged 18-44 years,5.5
2015,US,Diabetes,Foot examination among adults aged >= 18 years with diagnosed diabetes,70.3
2015,US,Diabetes,Foot examination among adults aged >= 18 years with diagnosed diabetes,71.8
2015,US,Diabetes,Foot examination among adults aged >= 18 years with diagnosed diabetes,71
2015,US,Diabetes,Foot examination among adults aged >= 18 years with diagnosed diabetes,74
2015,US,Diabetes,Foot examination among adults aged >= 18 years with diagnosed diabetes,77.5
2015,US,Diabetes,Foot examination among adults aged >= 18 years with diagnosed diabetes,75.8
2015,US,Diabetes,Glycosylated hemoglobin measurement among adults aged >= 18 years with diagnosed diabetes,73.6
2015,US,Diabetes,Glycosylated hemoglobin measurement among adults aged >= 18 years with diagnosed diabetes,68.8
2015,US,Diabetes,Glycosylated hemoglobin measurement among adults aged >= 18 years with diagnosed diabetes,72.1
2015,US,Diabetes,Glycosylated hemoglobin measurement among adults aged >= 18 years with diagnosed diabetes,75.9
2015,US,Diabetes,Glycosylated hemoglobin measurement among adults aged >= 18 years with diagnosed diabetes,74.2
2015,US,Diabetes,Glycosylated hemoglobin measurement among adults aged >= 18 years with diagnosed diabetes,75
2015,US,Diabetes,Dilated eye examination among adults aged >= 18 years with diagnosed diabetes,64.3
2015,US,Diabetes,Dilated eye examination among adults aged >= 18 years with diagnosed diabetes,59.7
2015,US,Diabetes,Dilated eye examination among adults aged >= 18 years with diagnosed diabetes,61.8
2015,US,Diabetes,Dilated eye examination among adults aged >= 18 years with diagnosed diabetes,70.2
2015,US,Diabetes,Dilated eye examination among adults aged >= 18 years with diagnosed diabetes,69.1
2015,US,Diabetes,Dilated eye examination among adults aged >= 18 years with diagnosed diabetes,70.2
2015,US,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,4.2
2015,US,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,3.1
2015,US,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,3.7
2015,US,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,4.1
2015,US,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,3.1
2015,US,Mental Health,Recent mentally unhealthy days among adults aged >= 18 years,3.7
2015,US,Mental Health,At least 14 recent mentally unhealthy days among women aged 18-44 years,14.6
2015,US,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,29.3
2015,US,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,29.9
2015,US,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,29.8
2015,US,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,29.3
2015,US,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,29.6
2015,US,"Nutrition, Physical Activity, and Weight Status",Obesity among adults aged >= 18 years,29.8
2015,US,"Nutrition, Physical Activity, and Weight Status",Obesity among high school students,13.9
2015,US,"Nutrition, Physical Activity, and Weight Status",No leisure-time physical activity among adults aged >= 18 years,25.6
2015,US,"Nutrition, Physical Activity, and Weight Status",No leisure-time physical activity among adults aged >= 18 years,24.6
2015,US,"Nutrition, Physical Activity, and Weight Status",No leisure-time physical activity among adults aged >= 18 years,25.4
2015,US,"Nutrition, Physical Activity, and Weight Status",No leisure-time physical activity among adults aged >= 18 years,26.8
2015,US,"Nutrition, Physical Activity, and Weight Status",No leisure-time physical activity among adults aged >= 18 years,24.8
2015,US,"Nutrition, Physical Activity, and Weight Status",No leisure-time physical activity among adults aged >= 18 years,26.2
2015,US,"Nutrition, Physical Activity, and Weight Status",Meeting aerobic physical activity guidelines for substantial health benefits among adults aged >= 18 years,50.7
2015,US,"Nutrition, Physical Activity, and Weight Status",Meeting aerobic physical activity guidelines for substantial health benefits among adults aged >= 18 years,52.1
2015,US,"Nutrition, Physical Activity, and Weight Status",Meeting aerobic physical activity guidelines for substantial health benefits among adults aged >= 18 years,51.2
2015,US,"Nutrition, Physical Activity, and Weight Status",Meeting aerobic physical activity guidelines for substantial health benefits among adults aged >= 18 years,50.4
2015,US,"Nutrition, Physical Activity, and Weight Status",Meeting aerobic physical activity guidelines for substantial health benefits among adults aged >= 18 years,52.2
2015,US,"Nutrition, Physical Activity, and Weight Status",Meeting aerobic physical activity guidelines for substantial health benefits among adults aged >= 18 years,51.3
2015,US,"Nutrition, Physical Activity, and Weight Status",Meeting aerobic physical activity guidelines for substantial health benefits and for muscle-strengthening activity among adults aged >= 18 years,19
2015,US,"Nutrition, Physical Activity, and Weight Status",Meeting aerobic physical activity guidelines for substantial health benefits and for muscle-strengthening activity among adults aged >= 18 years,22.9
2015,US,"Nutrition, Physical Activity, and Weight Status",Meeting aerobic physical activity guidelines for substantial health benefits and for muscle-strengthening activity among adults aged >= 18 years,21
2015,US,"Nutrition, Physical Activity, and Weight Status",Meeting aerobic physical activity guidelines for substantial health benefits and for muscle-strengthening activity among adults aged >= 18 years,18.9
2015,US,"Nutrition, Physical Activity, and Weight Status",Meeting aerobic physical activity guidelines for substantial health benefits and for muscle-strengthening activity among adults aged >= 18 years,22.7
2015,US,"Nutrition, Physical Activity, and Weight Status",Meeting aerobic physical activity guidelines for substantial health benefits and for muscle-strengthening activity among adults aged >= 18 years,20.3
2015,US,"Nutrition, Physical Activity, and Weight Status",Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,29.7
2015,US,"Nutrition, Physical Activity, and Weight Status",Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,33.6
2015,US,"Nutrition, Physical Activity, and Weight Status",Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,31.5
2015,US,"Nutrition, Physical Activity, and Weight Status",Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,30.1
2015,US,"Nutrition, Physical Activity, and Weight Status",Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,34.1
2015,US,"Nutrition, Physical Activity, and Weight Status",Meeting aerobic physical activity guidelines for additional and more extensive health benefits among adults aged >= 18 years,32
2015,US,"Nutrition, Physical Activity, and Weight Status",Meeting aerobic physical activity guidelines among high school students,27.1
2015,US,"Nutrition, Physical Activity, and Weight Status",Participation in daily school physical education classes among high school students,29.8
2015,US,"Nutrition, Physical Activity, and Weight Status",Soda consumption among high school students,20.4
2015,US,"Nutrition, Physical Activity, and Weight Status",Overweight or obesity among adults aged >= 18 years,59
2015,US,"Nutrition, Physical Activity, and Weight Status",Overweight or obesity among adults aged >= 18 years,71.7
2015,US,"Nutrition, Physical Activity, and Weight Status",Overweight or obesity among adults aged >= 18 years,65.5
2015,US,"Nutrition, Physical Activity, and Weight Status",Overweight or obesity among adults aged >= 18 years,59.1
2015,US,"Nutrition, Physical Activity, and Weight Status",Overweight or obesity among adults aged >= 18 years,71.5
